Div,commence,HomeTeam,AwayTeam,collected_at,market,side,book,odds_bet,fair_p,pinnacle_odds,ev_pre
E0,2026-08-21T19:00:00Z,Arsenal,Coventry City,2026-07-06T19:41,1X2,H,unibet_fr,1.13,0.8607,1.14,-0.0274
E0,2026-08-21T19:00:00Z,Arsenal,Coventry City,2026-07-06T19:41,1X2,D,unibet_fr,5.8,0.0955,7.78,-0.4462
E0,2026-08-21T19:00:00Z,Arsenal,Coventry City,2026-07-06T19:41,1X2,A,unibet_fr,12.0,0.0438,15.36,-0.4741
E0,2026-08-21T19:00:00Z,Arsenal,Coventry City,2026-07-06T19:41,1X2,H,winamax_fr,1.11,0.8607,1.14,-0.0446
E0,2026-08-21T19:00:00Z,Arsenal,Coventry City,2026-07-06T19:41,1X2,D,winamax_fr,5.5,0.0955,7.78,-0.4749
E0,2026-08-21T19:00:00Z,Arsenal,Coventry City,2026-07-06T19:41,1X2,A,winamax_fr,9.5,0.0438,15.36,-0.5837
E0,2026-08-21T19:00:00Z,Arsenal,Coventry City,2026-07-06T19:41,1X2,H,netbet_fr,1.07,0.8607,1.14,-0.0791
E0,2026-08-21T19:00:00Z,Arsenal,Coventry City,2026-07-06T19:41,1X2,D,netbet_fr,7.0,0.0955,7.78,-0.3316
E0,2026-08-21T19:00:00Z,Arsenal,Coventry City,2026-07-06T19:41,1X2,A,netbet_fr,14.5,0.0438,15.36,-0.3646
E0,2026-08-22T11:30:00Z,Hull City,Manchester United,2026-07-06T19:41,1X2,H,unibet_fr,6.0,0.1238,6.88,-0.2572
E0,2026-08-22T11:30:00Z,Hull City,Manchester United,2026-07-06T19:41,1X2,D,unibet_fr,4.1,0.2075,4.27,-0.1491
E0,2026-08-22T11:30:00Z,Hull City,Manchester United,2026-07-06T19:41,1X2,A,unibet_fr,1.37,0.6687,1.45,-0.0839
E0,2026-08-22T11:30:00Z,Hull City,Manchester United,2026-07-06T19:41,1X2,H,winamax_fr,5.3,0.1238,6.88,-0.3439
E0,2026-08-22T11:30:00Z,Hull City,Manchester United,2026-07-06T19:41,1X2,D,winamax_fr,4.0,0.2075,4.27,-0.1698
E0,2026-08-22T11:30:00Z,Hull City,Manchester United,2026-07-06T19:41,1X2,A,winamax_fr,1.34,0.6687,1.45,-0.104
E0,2026-08-22T11:30:00Z,Hull City,Manchester United,2026-07-06T19:41,1X2,H,netbet_fr,6.3,0.1238,6.88,-0.2201
E0,2026-08-22T11:30:00Z,Hull City,Manchester United,2026-07-06T19:41,1X2,D,netbet_fr,4.0,0.2075,4.27,-0.1698
E0,2026-08-22T11:30:00Z,Hull City,Manchester United,2026-07-06T19:41,1X2,A,netbet_fr,1.35,0.6687,1.45,-0.0973
E0,2026-08-22T14:00:00Z,Everton,Crystal Palace,2026-07-06T19:41,1X2,H,unibet_fr,1.96,0.4537,2.11,-0.1107
E0,2026-08-22T14:00:00Z,Everton,Crystal Palace,2026-07-06T19:41,1X2,D,unibet_fr,3.2,0.2672,3.48,-0.145
E0,2026-08-22T14:00:00Z,Everton,Crystal Palace,2026-07-06T19:41,1X2,A,unibet_fr,3.1,0.2791,3.34,-0.1349
E0,2026-08-22T14:00:00Z,Everton,Crystal Palace,2026-07-06T19:41,1X2,H,winamax_fr,1.9,0.4537,2.11,-0.1379
E0,2026-08-22T14:00:00Z,Everton,Crystal Palace,2026-07-06T19:41,1X2,D,winamax_fr,3.15,0.2672,3.48,-0.1583
E0,2026-08-22T14:00:00Z,Everton,Crystal Palace,2026-07-06T19:41,1X2,A,winamax_fr,2.9,0.2791,3.34,-0.1907
E0,2026-08-22T14:00:00Z,Everton,Crystal Palace,2026-07-06T19:41,1X2,H,netbet_fr,1.95,0.4537,2.11,-0.1152
E0,2026-08-22T14:00:00Z,Everton,Crystal Palace,2026-07-06T19:41,1X2,D,netbet_fr,3.2,0.2672,3.48,-0.145
E0,2026-08-22T14:00:00Z,Everton,Crystal Palace,2026-07-06T19:41,1X2,A,netbet_fr,3.05,0.2791,3.34,-0.1489
E0,2026-08-22T14:00:00Z,Ipswich Town,Sunderland,2026-07-06T19:41,1X2,H,unibet_fr,2.55,0.3491,2.71,-0.1099
E0,2026-08-22T14:00:00Z,Ipswich Town,Sunderland,2026-07-06T19:41,1X2,D,unibet_fr,3.1,0.2863,3.27,-0.1126
E0,2026-08-22T14:00:00Z,Ipswich Town,Sunderland,2026-07-06T19:41,1X2,A,unibet_fr,2.4,0.3647,2.6,-0.1248
