Team;League;Rivals
Paris SG;F1;Marseille,Lyon,Monaco
Marseille;F1;Paris SG,Lyon,Nice,Monaco
Lyon;F1;Paris SG,St Etienne,Marseille
St Etienne;F1;Lyon,Monaco,Bordeaux
Monaco;F1;Nice,Marseille,Paris SG,Lyon
Nice;F1;Monaco,Marseille,Lyon
Lens;F1;Lille,Amiens,Valenciennes
Lille;F1;Lens,Valenciennes
Bordeaux;F1;Toulouse,Nantes,Marseille
Toulouse;F1;Bordeaux,Montpellier
Nantes;F1;Rennes,Guingamp,Lorient
Rennes;F1;Nantes,Guingamp,Lorient,Brest
Guingamp;F1;Rennes,Nantes,Lorient,Brest
Brest;F1;Rennes,Guingamp,Lorient
Lorient;F1;Rennes,Nantes,Brest,Guingamp
Strasbourg;F1;Metz,Nancy
Metz;F1;Nancy,Strasbourg
Nancy;F1;Metz,Strasbourg
Montpellier;F1;Nimes,Toulouse
Nimes;F1;Montpellier
Reims;F1;Troyes,Amiens
Troyes;F1;Reims,Auxerre,Dijon
Auxerre;F1;Troyes,Dijon
Amiens;F1;Lens,Reims
Dijon;F1;Auxerre,Troyes
Ajaccio;F1;Bastia,Ajaccio GFCO
Bastia;F1;Ajaccio,Ajaccio GFCO
Ajaccio GFCO;F1;Bastia,Ajaccio
Valenciennes;F1;Lens,Lille,Amiens
Caen;F1;Le Havre,Rouen
Le Havre;F1;Caen
Angers;F1;Nantes
Clermont;F1;St Etienne,Lyon
Evian Thonon Gaillard;F1;Lyon
Sochaux;F1;Auxerre,Dijon
Paris FC;F2;Paris SG,Red Star
Red Star;F2;Paris FC,Paris SG
Quevilly Rouen;F2;Le Havre,Caen
Laval;F2;Rennes,Nantes,Guingamp
Le Mans;F2;Nantes,Angers
Niort;F2;Bordeaux,La Rochelle
Pau;F2;Bordeaux,Bayonne
Rodez;F2;Toulouse,Clermont
Sedan;F2;Reims,Charleville
Chateauroux;F2;Tours,Bourges
Gueugnon;F2;Macon,Dijon
Grenoble;F2;Lyon,Chambery
Dunkerque;F2;Lens,Lille
Orleans;F2;Tours,Chartres
AC Ajaccio;F2;Bastia,Ajaccio
Bayern Munich;D1;Dortmund,RB Leipzig,M'gladbach
Dortmund;D1;Bayern Munich,Schalke 04,M'gladbach
Schalke 04;D1;Dortmund,Bochum
M'gladbach;D1;Bayern Munich,Dortmund,Leverkusen,FC Koln
Leverkusen;D1;Cologne,M'gladbach,FC Koln
FC Koln;D1;M'gladbach,Leverkusen,Fortuna Dusseldorf
Ein Frankfurt;D1;Darmstadt,Mainz
Hamburg;D1;Werder Bremen,St Pauli,Hannover
Werder Bremen;D1;Hamburg,St Pauli
St Pauli;D1;Hamburg,Werder Bremen
Hannover;D1;Hamburg,Braunschweig
Hertha;D1;Union Berlin
Union Berlin;D1;Hertha
Stuttgart;D1;Freiburg,Augsburg
Freiburg;D1;Stuttgart,Hoffenheim
Hoffenheim;D1;Stuttgart,Freiburg,Darmstadt
Darmstadt;D1;Ein Frankfurt,Hoffenheim
RB Leipzig;D1;Bayern Munich,Dortmund
Augsburg;D1;Stuttgart,Nurnberg
Nurnberg;D1;Augsburg,Fürth
Wolfsburg;D1;Hannover,Braunschweig
Mainz;D1;Ein Frankfurt,Kaiserslautern
Heidenheim;D1;Stuttgart,Ulm
Holstein Kiel;D1;Hamburg,Werder Bremen
Bochum;D1;Schalke 04,Dortmund
Hamburg;D2;St Pauli,Werder Bremen,Hannover
St Pauli;D2;Hamburg,Werder Bremen
Hannover;D2;Hamburg,Braunschweig,Wolfsburg
Braunschweig;D2;Hannover,Wolfsburg
Fortuna Dusseldorf;D2;FC Koln,M'gladbach
Kaiserslautern;D2;Mainz,Saarbrucken
Paderborn;D2;Bielefeld,Dortmund
Bielefeld;D2;Paderborn,Hannover
Dresden;D2;RB Leipzig,Chemnitz
Magdeburg;D2;Halle,Dessau
Rostock;D2;Greifswald,Schwerin
Greuther Furth;D2;Nurnberg,Augsburg
Nurnberg;D2;Greuther Furth,Augsburg
Karlsruhe;D2;Stuttgart,Freiburg
Ingolstadt;D2;Augsburg,Nurnberg
Aue;D2;Chemnitz,Zwickau
Darmstadt;D2;Ein Frankfurt,Mainz
Sandhausen;D2;Karlsruhe,Mannheim
Osnabruck;D2;Bremen,Hamburg
Regensburg;D2;Nurnberg,Augsburg
Wismar;D2;Rostock,Hamburg
Wehen;D2;Frankfurt,Darmstadt
Schalke 04;D2;Dortmund,Bochum
Hertha;D2;Union Berlin
Union Berlin;D2;Hertha
Heidenheim;D2;Stuttgart,Ulm
Holstein Kiel;D2;Hamburg,Flensburg
Bochum;D2;Schalke 04,Dortmund
